trade_id,entry_timestamp,exit_timestamp,entry_zscore,entry_signal,entry_beta,entry_spread,direction,position_usdt,leg_a_usdt,leg_b_usdt,kelly_fraction,signal_strength,stop_zscore,target_zscore,min_hold_hours,exit_zscore,exit_reason,hours_held,partial_pnl_usdt,gross_pnl_pct,fee_cost_pct,net_pnl_pct,net_pnl_usdt,max_adverse_zscore,max_favorable_zscore,prediction_error_at_entry,beta_uncertainty_at_entry,is_winner
16,2020-10-26 11:00:00+00:00,2020-10-26 12:00:00+00:00,2.1283,-2.1283,0.6209,0.016926,SHORT_SPREAD,1465.14,903.89,561.25,0.1377,NORMAL,3.6283,-0.2128,25.54,5.0,STOPLOSS,1.0,0.0,-0.036644,0.003,-0.039644,-58.08,2.1283,5.0,0.016926,0.002632,False
17,2020-10-26 13:00:00+00:00,2020-10-26 15:00:00+00:00,5.0,-5.0,0.6262,0.058091,SHORT_SPREAD,2753.62,1693.33,1060.29,0.1377,STRONG,5.0,-0.5,60.0,3.5108,TIMESTOP,2.0,0.0,0.024732,0.003,0.021732,59.84,3.5108,5.0,0.058091,0.002646,True
18,2020-10-26 16:00:00+00:00,2020-10-26 18:00:00+00:00,2.5861,-2.5861,0.6294,0.024819,SHORT_SPREAD,1780.25,1092.58,687.67,0.1377,NORMAL,4.0861,-0.2586,31.03,1.7911,TIMESTOP,2.0,0.0,0.00762,0.003,0.00462,8.23,1.7911,2.5861,0.024819,0.002673,True
19,2020-10-26 19:00:00+00:00,2020-10-26 21:00:00+00:00,2.9512,-2.9512,0.6334,0.029046,SHORT_SPREAD,1015.83,621.9,393.93,0.1377,NORMAL,4.4512,-0.2951,35.41,0.5946,TIMESTOP,2.0,22.13,0.023808,0.003,0.020808,43.26,0.5946,2.9512,0.029046,0.002687,True
20,2020-10-26 23:00:00+00:00,2020-10-27 01:00:00+00:00,2.546,-2.546,0.6366,0.025265,SHORT_SPREAD,1752.69,1070.9,681.79,0.1377,NORMAL,4.046,-0.2546,30.55,3.6243,TIMESTOP,2.0,0.0,-0.011733,0.003,-0.014733,-25.82,2.546,3.6243,0.025265,0.002688,False
21,2020-10-27 03:00:00+00:00,2020-10-27 05:00:00+00:00,2.075,-2.075,0.6462,0.021372,SHORT_SPREAD,714.23,433.86,280.37,0.1377,NORMAL,3.575,-0.2075,24.9,0.7607,TIMESTOP,2.0,7.85,0.013629,0.003,0.010629,15.44,0.7607,2.075,0.021372,0.002686,True
22,2020-10-27 11:00:00+00:00,2020-10-27 13:00:00+00:00,-2.0078,2.0078,0.6445,-0.020895,LONG_SPREAD,691.09,420.25,270.84,0.1377,NORMAL,3.5078,0.2008,24.09,-0.6755,TIMESTOP,2.0,7.27,0.013981,0.003,0.010981,14.86,-0.6755,-2.0078,-0.020895,0.002686,True
23,2020-10-28 11:00:00+00:00,2020-10-28 13:00:00+00:00,-2.6387,2.6387,0.6324,-0.026714,LONG_SPREAD,1816.47,1112.74,703.73,0.1377,NORMAL,4.1387,0.2639,31.66,-2.0314,TIMESTOP,2.0,0.0,0.005949,0.003,0.002949,5.36,-1.4103,-2.6387,-0.026714,0.002704,True
24,2020-10-29 12:00:00+00:00,2020-10-29 14:00:00+00:00,-4.7293,4.7293,0.6182,-0.049995,LONG_SPREAD,2604.53,1609.48,995.05,0.1377,STRONG,5.0,0.4729,56.75,-1.7093,TIMESTOP,2.0,0.0,0.031943,0.003,0.028943,75.38,-1.7093,-4.7293,-0.049995,0.002761,True
25,2020-10-29 15:00:00+00:00,2020-10-29 17:00:00+00:00,-2.4891,2.4891,0.6113,-0.026866,LONG_SPREAD,1713.5,1063.43,650.08,0.1377,NORMAL,3.9891,0.2489,29.87,-1.5342,TIMESTOP,2.0,0.0,0.009925,0.003,0.006925,11.87,-1.3251,-2.4891,-0.026866,0.002752,True
26,2020-10-30 12:00:00+00:00,2020-10-30 14:00:00+00:00,2.6029,-2.6029,0.6103,0.026654,SHORT_SPREAD,895.93,556.39,339.54,0.1377,NORMAL,4.1029,-0.2603,31.23,0.8633,TIMESTOP,2.0,15.06,0.018471,0.003,0.015471,28.92,0.8633,2.6029,0.026654,0.00285,True
27,2020-11-07 02:00:00+00:00,2020-11-07 04:00:00+00:00,-3.3793,3.3793,0.6248,-0.034174,LONG_SPREAD,2326.31,1431.71,894.6,0.1377,STRONG,4.8793,0.3379,40.55,-1.1645,TIMESTOP,2.0,0.0,0.022925,0.003,0.019925,46.35,-1.1645,-3.3793,-0.034174,0.002547,True
28,2020-11-07 11:00:00+00:00,2020-11-07 13:00:00+00:00,-2.5713,2.5713,0.6077,-0.02673,LONG_SPREAD,885.06,550.52,334.54,0.1377,NORMAL,4.0713,0.2571,30.86,-1.692,TIMESTOP,2.0,15.46,0.009153,0.003,0.006153,20.9,-0.7783,-2.5713,-0.02673,0.002442,True
29,2020-11-07 15:00:00+00:00,2020-11-07 17:00:00+00:00,-2.1647,2.1647,0.6051,-0.022823,LONG_SPREAD,1490.18,928.43,561.75,0.1377,NORMAL,3.6647,0.2165,25.98,-2.083,TIMESTOP,2.0,0.0,0.000483,0.003,-0.002517,-3.75,-2.083,-2.7886,-0.022823,0.002455,False
